Loan.Status,Term,Years.in.current.job,Home.Ownership,Purpose,Current.Loan.Amount,Credit.Score,Annual.Income,Monthly.Debt,Years.of.Credit.History,Months.since.last.delinquent,Number.of.Open.Accounts,Number.of.Credit.Problems,Current.Credit.Balance,Maximum.Open.Credit,Bankruptcies,Tax.Liens,ID
0,Short Term,2 years,Rent,other,108063.9120701453,690,671895.1313485543,224.30304419584314,20.7,28.2,4,0,7676.055711210926,740168.9634179627,0,1,99
1,Short Term,2 years,Rent,debt consolidation,174768.1757041493,731,867881.3824512792,12875.540543861127,14.8,6.8,16,2,73035.82432123672,525248.91250730725,1,2,100
1,Long Term,7 years,Home Mortgage,home improvements,486244.1843397406,715,1837243.5585430935,15462.211025361132,16.3,9.7,3,0,929.9802781102444,98670.38568759983,0,0,102
1,Short Term,10+ years,Home Mortgage,debt consolidation,335743.98663866817,721,1353142.2241595692,14772.832638309428,15.8,6.5,13,0,269344.1259660987,604427.4295962699,0,0,103
1,Short Term,10+ years,Home Mortgage,debt consolidation,399211.0259763689,719,1666394.5425129747,47908.55308347573,20.8,13.5,19,0,323968.96712486347,428209.2023499209,0,1,105
1,Short Term,10+ years,Home Mortgage,debt consolidation,224618.82246681256,734,989348.8488296599,23825.74286683833,30.9,12.5,13,0,277097.4004742763,395119.87982704997,0,0,109
1,Long Term,5 years,Home Mortgage,debt consolidation,314929.9537070686,658,1097362.5816031198,30085.137384868343,15.9,29.2,11,1,191708.70807749726,330835.47643329954,0,0,112
1,Long Term,6 years,Rent,other,270380.4430490753,702,1556784.4449149407,17372.935768255003,20.5,19.4,9,1,105450.00061710647,191398.0751333329,2,0,114
1,Long Term,2 years,Home Mortgage,debt consolidation,258763.30190020302,699,1396786.568482716,25492.078955720423,10.8,14.7,7,0,73835.0685197211,101397.45534358136,0,0,116
1,Short Term,8 years,Home Mortgage,debt consolidation,559019.6388121735,743,2124276.1088475604,11984.994527140929,30.5,17.8,15,0,227582.19449424124,850057.323403138,0,0,117
1,Short Term,3 years,Rent,other,72512.60897617658,702,702068.2588169883,10178.523411799093,13,26.9,10,1,34312.31984488291,150525.9306494862,1,0,121
1,Short Term,8 years,Rent,medical bills,89099.86454779077,700,1077416.1137382265,15173.577619798874,19.6,27.6,10,0,272689.1782762833,362910.51099347166,0,0,122
1,Long Term,10+ years,Rent,debt consolidation,134220.66418210245,692,1255747.6964285923,3129.4167526482797,20.1,19.8,9,0,42863.55012839528,511720.4624076129,1,0,128
0,Short Term,10+ years,Home Mortgage,debt consolidation,264153.41950925626,732,1615968.9972534676,32858.14680579941,17.3,6.6,19,1,327826.01145123027,596838.825688682,1,0,130
0,Long Term,10+ years,Home Mortgage,debt consolidation,428230.21387222304,660,1849154.416647843,8675.215730539136,18.6,24,8,0,211014.1365010635,344122.87612174556,0,0,134
0,Long Term,2 years,Home Mortgage,buy house,662309.9725472315,598,2192656.9496432524,21744.322547177937,17.9,15.8,11,1,381995.4693017626,452739.30251722934,0,1,136
1,Short Term,10+ years,Home Mortgage,debt consolidation,223959.37909010306,730,967098.6389341408,13700.63715020513,27.9,24.5,20,0,145710.9016161704,556775.639141451,0,0,137
0,Short Term,10+ years,Home Mortgage,debt consolidation,217951.99070598607,737,1631055.3704673687,14135.03284054351,25.9,9.1,2,1,35587.249811268164,69124.01541047996,0,3,138
1,Short Term,4 years,Rent,debt consolidation,138841.06181962907,707,929478.7012572207,7744.931239172843,10.9,27.8,16,0,107615.68465395439,437206.6389632289,0,0,140
1,Long Term,10+ years,Home Mortgage,other,148014.33319329465,730,1045910.862061221,16560.27185098537,19.3,20.9,7,1,11530.08656534813,196239.0908208901,2,0,143
0,Short Term,8 years,Home Mortgage,debt consolidation,419869.6562989551,715,1258710.96215629,35032.51678461879,14.6,27.3,13,1,328735.3550170413,605152.7505117148,0,2,149
1,Short Term,10+ years,Rent,debt consolidation,202795.618379842,704,1579243.4712057244,25531.545934517297,22.1,9.4,15,0,114818.32759235798,154594.16349001977,1,0,151
1,Short Term,10+ years,Home Mortgage,debt consolidation,329648.6331305467,735,1518326.9622890027,16194.703792796096,34.3,17.7,5,1,122092.13579548096,191288.2473748533,2,0,154
0,Short Term,< 1 year,Rent,other,224048.2265117701,726,1354472.384945407,7822.2392301450645,14.5,12.7,11,1,204364.0288440185,333762.2696383626,1,1,159
0,Long Term,< 1 year,Rent,debt consolidation,423499.74061120814,687,1424884.8226588194,22797.27162692859,17.6,8.1,18,0,273960.71016081725,441826.2377374243,0,0,160
1,Short Term,n/a,Home Mortgage,other,110813.96385657937,724,1052733.5129732632,15177.341281815412,18.8,10,6,0,273884.4950731061,332421.3945813898,0,0,166
1,Long Term,2 years,Home Mortgage,other,546347.8341151976,633,2632716.2848597453,8621.17773715747,13.8,24,6,0,33345.307718577875,501576.61348344566,0,0,175
1,Short Term,10+ years,Home Mortgage,debt consolidation,109407.4134579058,680,1453652.799641651,15990.362876939409,18.1,24.1,10,0,199139.3581270319,287143.910648788,1,0,179
0,Long Term,10+ years,Home Mortgage,debt consolidation,728792.7591596594,711,1510594.5911423576,38645.59077290351,32.8,0.7,21,1,264708.21897744446,995125.9366202768,1,0,181
1,Long Term,10+ years,Home Mortgage,debt consolidation,424600.58316750167,695,1038102.3151609087,6902.484472906958,18.3,17.7,9,1,190949.1507233659,340692.18337362807,1,0,182
1,Short Term,6 years,Home Mortgage,debt consolidation,208471.72457693564,742,843977.931944026,15753.266325352972,15.5,9.1,21,0,292180.7326845853,719817.0298541902,0,0,183
1,Long Term,8 years,Home Mortgage,debt consolidation,389313.0359066648,712,933942.7744722547,14319.390535619808,18.3,14.4,18,2,487938.96253622486,1681458.5367533145,2,0,185
1,Short Term,4 years,Home Mortgage,debt consolidation,157564.3469524161,743,2916119.0594486776,21674.701039343337,15.2,9.7,6,0,675677.3688459905,1021371.8217313198,0,0,187
1,Short Term,3 years,Rent,debt consolidation,292005.71272573236,733,892352.8316929415,21341.60456452805,20.8,14.4,20,0,387201.42927058955,763774.4675048691,0,0,188
1,Long Term,10+ years,Home Mortgage,home improvements,271657.0892207778,735,2042593.921730065,23318.16585860486,25.2,25.8,5,2,10942.651883132901,15621.405014096787,2,1,191
1,Short Term,6 years,Home Mortgage,home improvements,107558.37008345962,714,1095998.2614905469,8138.715921363077,24.1,5.3,14,1,248084.62077469277,619081.005486339,0,1,199
0,Long Term,n/a,Home Mortgage,debt consolidation,410455.0542673177,660,1373375.7555006268,31701.959707101552,32.3,8.8,18,0,314619.548784622,752663.4852377337,0,0,200
1,Short Term,4 years,Own Home,debt consolidation,153799.94259502547,716,1314171.7833917246,25515.96854099147,15.8,24.1,13,1,111663.8033087552,489764.21238136257,0,1,203
1,Short Term,7 years,Rent,debt consolidation,399872.3459410023,701,1167358.8916834735,24805.655567633712,12.2,12.8,7,0,51394.97750688297,155407.03367040542,0,0,207
1,Short Term,10+ years,Home Mortgage,other,223563.96272768182,720,1737700.2930788477,13480.596170061937,26.3,18,3,0,13470.69005847158,22352.41246142314,0,0,209
1,Short Term,10+ years,Home Mortgage,other,89122.44212330764,698,615790.7526860501,9648.313335350871,21.8,3.9,14,1,169993.31619643906,554487.0145600314,0,1,210
0,Short Term,3 years,Home Mortgage,debt consolidation,204907.46932841698,707,592990.1006040977,14429.270296893801,20.6,6.1,8,0,96234.03135714406,195138.409548713,0,0,220
0,Short Term,10+ years,Home Mortgage,home improvements,608783.2234906225,675,1314439.38415111,26617.843700915222,16,10,6,1,105259.55566676708,228248.8723948202,0,2,221
1,Long Term,3 years,Home Mortgage,debt consolidation,270268.9697260141,737,3056624.3579866374,29547.557259375815,15.4,8.1,11,0,138851.99231241856,296076.2588635698,1,0,222
1,Long Term,2 years,Home Mortgage,medical bills,606319.9155008147,678,3660864.39961359,35388.376687491684,20.3,23.5,16,0,331301.891183912,898390.5472845735,0,0,225
0,Short Term,3 years,Rent,debt consolidation,176351.17471034647,700,514026.8712380241,6641.015193260638,8.3,27.8,15,0,144572.2631649828,420596.2825303689,0,1,226
1,Short Term,2 years,Home Mortgage,buy a car,21669.69700978757,719,1399178.6507484952,24251.341888879582,15.9,19.4,8,0,0,0,1,0,228
1,Short Term,1 year,Home Mortgage,other,177760.92835921832,723,1611961.2210541058,4970.986433469866,16.5,15.9,12,0,229995.1009636303,708269.6041492592,0,0,231
1,Short Term,< 1 year,Home Mortgage,debt consolidation,175493.4020308862,723,1263044.889366611,14103.824686023661,24.2,16.9,13,0,222509.5936483467,456809.2758975141,1,0,238
1,Long Term,4 years,Home Mortgage,debt consolidation,574640.0496755297,635,1241917.081441869,7679.661982661141,15.2,15.7,12,1,148561.42346044173,437691.45623514615,1,0,239
1,Short Term,10+ years,Rent,debt consolidation,62303.77943937906,722,999172.7032629577,8185.025943732128,17.2,9.7,2,2,46474.18796873276,79132.34234679915,2,0,242
1,Short Term,3 years,Home Mortgage,debt consolidation,262833.9560775052,707,1286318.7318896458,25511.848555780227,17.6,25.5,11,0,159961.55156557116,280213.429781775,0,0,243
0,Long Term,5 years,Rent,debt consolidation,216700.0954376728,732,2620100.999804391,35152.756096602025,14.1,28.6,9,0,159998.33713555156,288112.5996321881,1,0,246
1,Short Term,2 years,Home Mortgage,debt consolidation,333277.9917039216,727,3261977.524353407,35067.4198554077,18.8,14,19,0,422105.30019350216,810523.5496556698,0,0,247
1,Long Term,6 years,Home Mortgage,debt consolidation,481624.0321264814,725,1833974.2447322696,40499.68223319682,19,12.5,19,1,243827.46078486004,637296.9926117514,1,0,248
1,Long Term,n/a,Rent,other,281556.2585339053,663,676000.1514090167,11548.26052423372,9.7,8.8,8,0,3287.9777435668752,422774.471812584,2,0,249
0,Short Term,6 years,Home Mortgage,debt consolidation,536865.0149605882,739,1115356.487660733,15242.725752605344,26.6,12.4,8,0,457822.6578800911,697531.0053670057,0,0,250
0,Long Term,2 years,Own Home,debt consolidation,464553.5542006084,701,2674629.8979570176,10987.932525750348,18.4,2.8,11,1,116868.46334207754,545622.298616515,1,0,255
1,Short Term,8 years,Home Mortgage,debt consolidation,215862.73611394817,721,1903154.4518218194,14717.983042725777,21.6,26.1,14,2,236397.87055780643,325865.47288995824,0,2,256
1,Short Term,10+ years,Home Mortgage,debt consolidation,267013.47370445944,751,1710284.0112028036,8222.946854774427,21.1,23.4,9,0,470800.4325924877,1747261.9704534202,0,0,259
1,Short Term,8 years,Rent,debt consolidation,158663.37846791386,738,666065.3189009463,5424.637728690878,14.6,3.5,14,0,154356.52392817932,801460.986611389,1,0,260
0,Long Term,< 1 year,Home Mortgage,other,773784.8603067057,660,2004786.749451535,20382.562771529254,17.8,22.6,10,0,324329.2097711156,654258.3650732476,0,0,261
0,Long Term,4 years,Rent,debt consolidation,218371.70323034606,623,471484.72248668974,7427.5171245825595,10.7,23.1,12,0,82421.85649429748,196350.7020752104,0,0,263
1,Short Term,< 1 year,Rent,debt consolidation,435423.7486713646,700,1410179.8353173847,22914.17901926258,17.8,18.2,10,0,266931.2297162917,476981.9611360768,0,0,265
1,Short Term,6 years,Own Home,debt consolidation,202354.85553643812,724,677766.9788998486,13046.54544600188,20.6,28.6,5,2,71516.39162411564,107536.51733540512,2,1,267
1,Long Term,10+ years,Rent,debt consolidation,259557.78484526376,712,1027444.5288594476,9419.448114155588,24.5,10.5,12,0,213409.42912010534,346083.1533798152,0,0,274
1,Long Term,10+ years,Rent,debt consolidation,393668.18770649284,719,779171.580743211,18635.937357057457,23.5,28.1,20,0,400824.7477102616,696849.4563843639,0,0,277
1,Short Term,2 years,Own Home,debt consolidation,682900.9075882431,722,1323216.8376332498,25581.518820523925,18.7,5.1,9,1,460010.74492508726,1405382.327007154,0,0,280
1,Short Term,9 years,Home Mortgage,debt consolidation,92026.5253854808,742,1128711.8397203933,9349.865025271209,14,19.9,11,0,79857.60556705293,139480.3198289311,0,0,282
1,Short Term,10+ years,Rent,debt consolidation,318385.2824777953,720,1020130.4681018979,26608.749266798048,16.9,16.1,12,0,144743.33143533402,304723.46657677914,0,0,287
1,Short Term,10+ years,Home Mortgage,debt consolidation,404119.2880861025,730,969474.1651136522,16402.209312243143,12.4,24.8,21,0,175560.99601668527,495791.10902090784,2,0,288
1,Short Term,5 years,Home Mortgage,debt consolidation,721577.3054721465,730,2077248.6093769826,49852.60376292026,34.2,8.7,11,0,587821.0055675776,872628.6963802247,1,0,291
1,Short Term,6 years,Rent,buy a car,112663.02128671037,720,763114.5940123686,11598.459332204657,20.6,15.4,12,1,137900.81348177415,378354.97931770113,2,0,293
0,Short Term,10+ years,Rent,debt consolidation,356509.8879840817,685,1121341.8322199425,15791.068499687277,17,6.9,10,0,170582.45485565963,635096.5092288475,1,0,294
0,Long Term,10+ years,Home Mortgage,debt consolidation,625062.2137707055,666,1735137.09638205,11929.006795315701,18.6,23,12,0,947111.9895508075,1211781.381748525,0,1,296
1,Short Term,4 years,Own Home,debt consolidation,241516.45936446512,718,917395.0962453388,17505.69128004091,16.1,17.9,18,0,113980.02470398051,396350.71641366597,0,0,306
0,Long Term,10+ years,Home Mortgage,debt consolidation,440704.11315136054,725,1332127.5744561823,26198.20280684983,17.7,9.3,18,0,341448.424997073,588322.0388180823,0,0,309
1,Long Term,7 years,Home Mortgage,debt consolidation,786170.9843817191,668,2618866.7871829895,42994.510996305005,19.4,3,23,0,757777.5350609203,1190551.3919786788,0,0,310
0,Short Term,1 year,Rent,debt consolidation,759615.4990692199,663,1499479.7502847419,19242.675673993817,11.4,8.4,11,0,152436.59448052006,425325.8631698186,0,1,313
1,Long Term,< 1 year,Rent,debt consolidation,434807.6816430277,723,1314308.1911430326,23658.58585578618,24.4,23.2,11,0,427974.749384093,708928.4823721128,1,0,316
1,Short Term,6 years,Rent,debt consolidation,91804.99383790675,731,815459.3460843151,11824.879285141733,18.8,14.3,11,0,103568.17820969736,179277.05733212948,2,0,317
1,Short Term,7 years,Rent,other,111539.15668898287,726,2889898.9055361077,5369.053434912284,20.2,21.6,3,0,29828.786161143234,539592.4712592799,0,0,320
1,Long Term,2 years,Rent,debt consolidation,328987.49417135224,729,814473.7031800962,14523.307926249643,12.7,22.9,5,0,245194.05843628713,405590.903353396,0,0,322
1,Short Term,10+ years,Home Mortgage,debt consolidation,380358.8559568897,700,1932299.5109466284,17873.947897427057,9.7,20.8,11,1,303123.9132219214,711921.6138025386,2,0,325
1,Short Term,10+ years,Home Mortgage,debt consolidation,445852.33618938475,734,1251435.5304003383,18145.68511852987,27.9,9.9,15,1,508268.35640215984,671066.6156570978,0,1,331
1,Short Term,10+ years,Rent,debt consolidation,72029.27523190333,716,957125.646038237,4633.411555245295,29.5,25.8,10,0,153027.17609313608,259424.20745248973,1,0,334
0,Short Term,3 years,Home Mortgage,debt consolidation,543465.4089429979,742,3754781.325859601,22310.289833721617,29,20.5,9,0,365580.4251030898,595364.6049755602,0,0,337
1,Short Term,10+ years,Own Home,business loan,255069.4009201319,683,1819078.5711922005,6153.051231915083,19.4,29.9,1,1,0,0,0,1,338
1,Short Term,10+ years,Home Mortgage,debt consolidation,582229.7783701576,747,3147426.076522152,31998.79536958749,32.7,5.6,8,0,214795.83165318074,1006873.6973533689,0,0,340
1,Long Term,10+ years,Home Mortgage,debt consolidation,784321.6461239626,649,1509568.812728405,25914.703336991224,28.3,28.9,10,0,762811.5927428493,959023.4263079523,0,1,341
1,Short Term,5 years,Home Mortgage,home improvements,218481.42835002637,746,2924688.6047555767,33633.36836857686,15.3,8.7,19,0,177099.34483293974,456721.76239801134,0,0,342
1,Short Term,1 year,Home Mortgage,other,423148.7352497794,703,1199679.171411376,27793.25449770408,28.8,6.9,14,2,225435.55182461205,443169.1957649311,1,0,349
1,Short Term,10+ years,Home Mortgage,debt consolidation,195272.33284181968,729,936889.7176770661,16317.713166400357,20.2,21.2,15,0,153273.98745819772,282171.19146459486,0,2,351
1,Long Term,4 years,Home Mortgage,major_purchase,226378.5068003094,663,1147295.8506469657,6345.841056689999,12.7,10.6,4,0,73243.27120364393,221406.90316985938,1,0,352
1,Short Term,7 years,Home Mortgage,debt consolidation,89651.76418611206,720,870997.9088298049,16621.18370765725,13.3,27.1,16,0,159961.29305122286,369666.3398724617,0,1,355
1,Long Term,7 years,Home Mortgage,debt consolidation,333828.504897956,716,2883060.121129675,13526.353538142743,14.2,1.1,6,0,19208.30455009803,142514.30065978886,0,0,356
1,Short Term,n/a,Rent,debt consolidation,146584.46701863047,748,954615.9292272397,3277.5141002578453,16.8,6.4,6,0,109096.84516464578,1559559.7278048263,0,1,359
1,Short Term,10+ years,Home Mortgage,home improvements,121659.09644144823,708,859617.2068880224,8739.794907844385,19.1,24.7,10,0,82080.44919610824,465916.1608500803,0,0,361
0,Short Term,9 years,Home Mortgage,home improvements,104523.59822435495,729,894237.587482538,20866.98664129586,15,8.4,13,0,456096.0292071796,893595.5322769848,0,0,364
1,Long Term,n/a,Home Mortgage,debt consolidation,505912.2244841319,662,1146040.9527992103,34381.01728016224,21,27.5,13,0,409676.94526953984,886645.0573606072,0,0,365
0,Short Term,10+ years,Home Mortgage,debt consolidation,309474.6631008302,719,2373574.232365946,21756.53218431362,29.2,6.2,10,0,145311.40827893,397782.76528719254,1,1,368
1,Short Term,4 years,Rent,debt consolidation,436216.0307189272,705,1789475.7506023487,13837.590551491732,14.5,0.7,12,0,211337.73092913622,755238.5692274697,0,0,371
0,Long Term,3 years,Rent,debt consolidation,464440.49154317146,698,1757270.8175488282,25187.06510687654,13.6,1.8,19,0,200202.0289924904,706705.780995198,0,0,372
1,Long Term,8 years,Home Mortgage,other,537966.4645383101,652,1133616.782800048,13793.952816263494,14.4,18.7,22,0,160228.25156106558,357478.7499437696,0,0,373
1,Long Term,7 years,Home Mortgage,medical bills,223168.02347687577,703,1252784.9747421327,20567.655978186653,17.1,28.3,27,0,236379.82375668027,918435.9074455935,0,0,375
1,Long Term,10+ years,Home Mortgage,debt consolidation,336181.2365045316,720,1702302.9431895462,19007.66208931069,20.6,9.7,13,0,363013.59718662145,454915.0645415613,0,0,377
1,Short Term,10+ years,Home Mortgage,debt consolidation,219758.0716286936,727,948953.9195057778,10595.82974091878,14.6,23.5,10,1,282263.7061007725,386780.77598309034,0,2,382
1,Short Term,10+ years,Home Mortgage,debt consolidation,415051.93570409605,733,1400205.8406654592,23686.94558126415,18.9,18.6,14,0,198530.6328425995,298142.81322747207,0,0,384
1,Short Term,10+ years,Home Mortgage,home improvements,288201.2932710132,708,1876344.1441940418,31114.63079318548,17.6,26.3,19,2,308083.5558628216,720654.9154712198,2,0,390
1,Short Term,10+ years,Home Mortgage,debt consolidation,358863.4870969954,749,1704602.6757053207,20170.597998022004,39.2,14,15,3,671363.825700418,1201507.862744565,2,1,391
1,Long Term,3 years,Rent,debt consolidation,460966.6430099558,661,1011636.2156252122,12476.19493895299,27.4,24,7,0,265204.029066336,383834.3529774675,0,0,393
0,Long Term,10+ years,Home Mortgage,debt consolidation,335390.96186943236,729,3437117.8363625286,44109.93056207992,26.9,19.2,11,0,420735.16089810204,945978.7113009657,0,0,394
0,Short Term,< 1 year,Rent,other,351075.6363084152,710,763951.3742247961,15279.298311353756,12,17.8,11,0,164711.57957793653,276409.409479928,0,0,396
1,Short Term,8 years,Home Mortgage,debt consolidation,449109.31473554415,716,1454507.9368768872,13091.545387474744,30.2,22.5,13,0,193990.0792779434,458414.3728364432,1,0,401
1,Short Term,< 1 year,Rent,debt consolidation,218085.97624781326,730,1506775.8695864659,11879.76145795854,12.3,19.8,12,0,225701.69982324966,640506.7752809459,0,0,404
1,Short Term,2 years,Rent,debt consolidation,229525.80147315183,721,667147.3356258514,8395.275902643834,20.1,17.6,8,0,194084.4610344236,378335.4001093393,0,0,406
1,Long Term,10+ years,Home Mortgage,debt consolidation,755612.3376380665,628,2759408.745777569,26904.748982117155,20.4,9.4,26,1,139210.7896426637,1096609.737753825,1,0,408
0,Short Term,10+ years,Home Mortgage,home improvements,432168.8461845071,747,1241004.5347200946,12203.294017410695,31.4,5.3,14,0,185705.67310908381,709654.9433406831,0,0,409
1,Short Term,< 1 year,Rent,debt consolidation,205105.8060807123,715,574501.4916986376,7850.771332026405,36.6,24.2,6,0,71040.17641900192,130788.59434682425,0,0,418
1,Long Term,1 year,Home Mortgage,other,142956.40202681712,640,1099567.617505206,11270.36266347715,13.4,9.3,14,4,106779.47169697324,330551.372673194,2,2,424
1,Short Term,7 years,Home Mortgage,other,380028.55205299595,702,837995.60824722,21997.92948856667,26.4,13.1,20,0,301187.9278095425,666820.1090576554,0,1,425
1,Short Term,1 year,Rent,debt consolidation,217909.76205990146,724,1505560.7918374985,18444.396034747868,21.1,8.7,13,0,28957.72627371598,364520.0770623698,0,1,438
1,Short Term,10+ years,Home Mortgage,medical bills,134927.150049017,712,1337182.8255055067,31423.858282722722,21.7,26.7,9,2,67526.98363726406,278255.26690992166,2,1,439
1,Long Term,10+ years,Own Home,debt consolidation,490798.33198301255,667,1632119.8486368894,34684.48607837106,14.7,18.7,13,0,263208.2196743036,344762.14791779063,1,0,440
1,Short Term,2 years,Rent,other,108853.20103460572,673,1692043.6665778968,23689.46176808551,6.9,16.1,12,2,83599.46196257464,509497.9753735246,2,1,441
1,Short Term,10+ years,Rent,debt consolidation,53284.11236638235,695,1917670.3285697899,14926.439025674843,18.5,12.6,6,0,193762.93255224128,330923.9856751577,0,0,443
0,Long Term,5 years,Rent,debt consolidation,442244.3003285131,718,954844.149905274,20051.434081349442,17.7,26.5,12,0,372361.23793310643,782497.4573737079,0,1,445
1,Short Term,10+ years,Home Mortgage,debt consolidation,254408.17564142172,721,1528511.7620168214,11845.93559555689,17.1,11.1,9,0,85479.88219139821,110594.23905629532,0,0,446
1,Short Term,10+ years,Rent,debt consolidation,130744.5939861515,733,1018589.4910799939,16891.308072329397,22,27.3,8,1,41229.04529386941,191687.0717284186,1,1,447
